group,ligand_id,system,mode,affinity_kcal_mol,rmsd_lb,rmsd_ub,min_distance_to_key_residues_A,n_contacted_key_residues_4A,contacted_key_residues_4A,n_near_key_residues_6A,near_key_residues_6A,n_contacted_chains_4A,n_near_chains_6A,composite_score,pose_file
candidate,8.4,20chol,2,-5.371,15.52,18.096,2.427,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.243,C:\TRKB_WP2\docking\results_batch\20chol\8.4_20chol_out.pdbqt
candidate,9.1,20chol,8,-5.151,2.38,6.635,2.349,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.046,C:\TRKB_WP2\docking\results_batch\20chol\9.1_20chol_out.pdbqt
candidate,9.2,20chol,3,-5.166,1.961,3.477,2.325,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.069,C:\TRKB_WP2\docking\results_batch\20chol\9.2_20chol_out.pdbqt
candidate,1.1,40chol,2,-5.22,2.43,5.174,2.581,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.446,C:\TRKB_WP2\docking\results_batch\40chol\1.1_40chol_out.pdbqt
candidate,1.2,40chol,7,-4.746,2.851,5.233,2.64,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.554,C:\TRKB_WP2\docking\results_batch\40chol\1.2_40chol_out.pdbqt
candidate,10.1,40chol,4,-5.21,2.103,3.763,2.6,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.43,C:\TRKB_WP2\docking\results_batch\40chol\10.1_40chol_out.pdbqt
candidate,10.2,40chol,7,-5.121,2.166,4.199,2.56,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.953,C:\TRKB_WP2\docking\results_batch\40chol\10.2_40chol_out.pdbqt
candidate,10.3,40chol,4,-5.171,13.765,15.559,1.904,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.2,C:\TRKB_WP2\docking\results_batch\40chol\10.3_40chol_out.pdbqt
candidate,10.4,40chol,10,-4.916,13.644,15.572,1.776,3,SER20_chainA;TYR13_chainB;VAL17_chainB,4,SER20_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.383,C:\TRKB_WP2\docking\results_batch\40chol\10.4_40chol_out.pdbqt
candidate,11.1,40chol,6,-4.608,3.714,5.799,2.556,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.441,C:\TRKB_WP2\docking\results_batch\40chol\11.1_40chol_out.pdbqt
candidate,11.2,40chol,4,-5.101,5.065,8.212,1.407,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,2,2,15.679,C:\TRKB_WP2\docking\results_batch\40chol\11.2_40chol_out.pdbqt
candidate,11.3,40chol,5,-4.7,2.436,3.704,2.35,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.595,C:\TRKB_WP2\docking\results_batch\40chol\11.3_40chol_out.pdbqt
candidate,11.4,40chol,5,-5.093,4.502,6.373,2.733,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.873,C:\TRKB_WP2\docking\results_batch\40chol\11.4_40chol_out.pdbqt
candidate,12.1,40chol,10,-4.571,2.668,3.989,2.013,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.567,C:\TRKB_WP2\docking\results_batch\40chol\12.1_40chol_out.pdbqt
candidate,12.2,40chol,3,-5.321,2.903,6.408,2.832,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.071,C:\TRKB_WP2\docking\results_batch\40chol\12.2_40chol_out.pdbqt
candidate,13.1,40chol,6,-5.24,1.969,2.303,2.679,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.036,C:\TRKB_WP2\docking\results_batch\40chol\13.1_40chol_out.pdbqt
candidate,13.2,40chol,10,-4.76,2.362,4.757,2.903,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.489,C:\TRKB_WP2\docking\results_batch\40chol\13.2_40chol_out.pdbqt
candidate,13.3,40chol,3,-5.398,3.055,4.497,2.53,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.239,C:\TRKB_WP2\docking\results_batch\40chol\13.3_40chol_out.pdbqt
candidate,13.4,40chol,10,-5.116,2.393,3.677,2.872,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.854,C:\TRKB_WP2\docking\results_batch\40chol\13.4_40chol_out.pdbqt
candidate,14.1,40chol,8,-5.076,3.285,7.01,2.378,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.363,C:\TRKB_WP2\docking\results_batch\40chol\14.1_40chol_out.pdbqt
candidate,14.2,40chol,3,-5.643,2.152,4.395,2.59,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.466,C:\TRKB_WP2\docking\results_batch\40chol\14.2_40chol_out.pdbqt
candidate,14.3,40chol,6,-5.244,17.072,19.29,2.599,2,SER20_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.264,C:\TRKB_WP2\docking\results_batch\40chol\14.3_40chol_out.pdbqt
candidate,14.4,40chol,2,-5.298,3.362,6.233,1.856,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,2,2,15.741,C:\TRKB_WP2\docking\results_batch\40chol\14.4_40chol_out.pdbqt
candidate,15.1,40chol,9,-4.464,3.297,5.117,2.393,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.346,C:\TRKB_WP2\docking\results_batch\40chol\15.1_40chol_out.pdbqt
candidate,15.2,40chol,9,-5.004,1.372,2.103,2.724,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.787,C:\TRKB_WP2\docking\results_batch\40chol\15.2_40chol_out.pdbqt
