group,ligand_id,system,best_affinity_kcal_mol,min_distance_to_key_residues_A,n_contacted_key_residues_4A,contacted_key_residues_4A,n_near_key_residues_6A,near_key_residues_6A,n_contacted_chains_4A,n_near_chains_6A,composite_score,pose_file
candidate,14.3,40chol,-5.974,1.825,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,12.226,C:\TRKB_WP2\docking\results_batch\40chol\14.3_40chol_out.pdbqt
candidate,14.4,40chol,-5.835,2.558,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.468,C:\TRKB_WP2\docking\results_batch\40chol\14.4_40chol_out.pdbqt
candidate,15.1,40chol,-5.511,2.378,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.198,C:\TRKB_WP2\docking\results_batch\40chol\15.1_40chol_out.pdbqt
candidate,15.2,40chol,-5.556,2.766,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,14.326,C:\TRKB_WP2\docking\results_batch\40chol\15.2_40chol_out.pdbqt
candidate,16.1,40chol,-5.544,2.748,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,14.320,C:\TRKB_WP2\docking\results_batch\40chol\16.1_40chol_out.pdbqt
candidate,16.2,40chol,-5.443,2.662,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.644,C:\TRKB_WP2\docking\results_batch\40chol\16.2_40chol_out.pdbqt
candidate,16.3,40chol,-5.466,2.489,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.719,C:\TRKB_WP2\docking\results_batch\40chol\16.3_40chol_out.pdbqt
candidate,16.4,40chol,-5.789,2.721,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.373,C:\TRKB_WP2\docking\results_batch\40chol\16.4_40chol_out.pdbqt
candidate,17.1,40chol,-6.129,2.661,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,12.131,C:\TRKB_WP2\docking\results_batch\40chol\17.1_40chol_out.pdbqt
candidate,17.2,40chol,-5.915,2.515,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,14.160,C:\TRKB_WP2\docking\results_batch\40chol\17.2_40chol_out.pdbqt
